entity_type,layer,start_x,start_y,start_z,end_x,end_y,end_z,center_x,center_y,radius,vertices,vertex_count,closed,start_angle,end_angle,text,insert_x,insert_y
LINE,Ventanas,27.5518,19.8191,0.0,27.5518,19.5991,0.0,,,,,,,,,,,
LINE,Ventanas,27.5518,19.8191,0.0,27.3118,19.8191,0.0,,,,,,,,,,,
LINE,Muros,27.5518,20.8918,0.0,27.3118,20.8918,0.0,,,,,,,,,,,
LINE,Muebles objetos y demas,31.2918,19.5991,0.0,34.0018,19.5991,0.0,,,,,,,,,,,
LINE,Muebles objetos y demas,25.8718,23.827,0.0,25.8718,17.9271,0.0,,,,,,,,,,,
LINE,Muebles objetos y demas,25.8718,17.8297,0.0,27.3116,17.8297,0.0,,,,,,,,,,,
LINE,Muebles objetos y demas,27.3118,17.9271,0.0,27.3118,19.5991,0.0,,,,,,,,,,,
LINE,Muebles objetos y demas,25.8718,17.0991,0.0,25.8718,17.8297,0.0,,,,,,,,,,,
LINE,Muebles objetos y demas,27.3116,17.8297,0.0,27.3116,17.0991,0.0,,,,,,,,,,,
LINE,Muebles objetos y demas,25.8718,17.9271,0.0,27.3118,17.9271,0.0,,,,,,,,,,,
LINE,Muebles objetos y demas,27.3118,21.5741,0.0,26.1718,21.5741,0.0,,,,,,,,,,,
LINE,Muebles objetos y demas,26.1718,21.5741,0.0,26.1718,23.827,0.0,,,,,,,,,,,
LWPOLYLINE,Muebles objetos y demas,,,,,,,,,,"[[31.4627, 17.8216], [32.3867, 17.8216], [32.3867, 17.0991], [31.4627, 17.0991]]",4.0,True,,,,,
LWPOLYLINE,Muebles objetos y demas,,,,,,,,,,"[[32.3869, 17.9116], [31.4627, 17.9116], [31.4627, 18.3454], [32.3869, 18.3454]]",4.0,True,,,,,
