entity_type,layer,center_x,center_y,radius,start_angle,end_angle,vertices,vertex_count,closed,start_x,start_y,start_z,end_x,end_y,end_z,text,insert_x,insert_y
CIRCLE,BARANDA DE MADERA,1.2365,276.9757,0.05,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,1.2365,276.9757,0.025,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,1.6365,276.9757,0.05,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,1.6365,276.9757,0.025,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,1.6365,277.3757,0.05,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,1.6365,277.3757,0.025,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,1.6365,277.7757,0.05,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,1.6365,277.7757,0.025,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,1.6365,278.1757,0.05,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,1.6365,278.1757,0.025,,,,,,,,,,,,,,
MTEXT,TEXTO,,,,,,,,,,,,,,,PARAPETO (h=1.00m),-3.1833,278.632
MTEXT,TEXTO,,,,,,,,,,,,,,,PARAPETO (h=1.00m),0.1472,278.632
LWPOLYLINE,PROYECCION,,,,,,"[[1.5624, 283.1226], [1.5624, 282.4007], [-1.7876, 282.4007], [-1.7876, 283.1226], [1.5624, 283.1226]]",5.0,False,,,,,,,,,
LINE,PROYECCION,,,,,,,,,-1.9376,283.1226,0.0,1.5624,284.1226,0.0,,,
LINE,PROYECCION,,,,,,,,,-1.9376,284.166,0.0,1.5624,283.1226,0.0,,,
LINE,ESCALERA,,,,,,,,,-15.0982,282.4859,0.0,-16.0982,282.4859,0.0,,,
LINE,ESCALERA,,,,,,,,,-15.0982,282.6981,0.0,-16.0982,282.6981,0.0,,,
LINE,ESCALERA,,,,,,,,,-15.0982,282.9103,0.0,-16.0982,282.9103,0.0,,,
LINE,ESCALERA,,,,,,,,,-16.3482,283.1226,0.0,-16.3482,284.1384,0.0,,,
LINE,ESCALERA,,,,,,,,,-16.5982,283.1226,0.0,-16.5982,284.1416,0.0,,,
LINE,ESCALERA,,,,,,,,,-16.8482,283.1226,0.0,-16.8482,284.1447,0.0,,,
LINE,ESCALERA,,,,,,,,,-17.0982,283.1226,0.0,-17.0982,284.1479,0.0,,,
LINE,ESCALERA,,,,,,,,,-17.3482,283.1226,0.0,-17.3482,284.151,0.0,,,
LINE,ESCALERA,,,,,,,,,-18.0982,283.1226,0.0,-18.0982,284.1605,0.0,,,
LWPOLYLINE,ESCALERA,,,,,,"[[-15.0982, 283.1226], [-15.0982, 284.1226], [-16.0982, 284.1353]]",3.0,False,,,,,,,,,
